City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wewak,-3.5534,143.6268,29.15,71,72,4.76,PG,1690609745
1,rongelap,11.1635,166.8941,28.43,82,97,10.04,MH,1690609746
2,dehri,24.8667,84.1833,38.42,38,35,2.86,IN,1690609746
3,grytviken,-54.2811,-36.5092,-1.84,85,40,5.08,GS,1690609747
4,port-aux-francais,-49.35,70.2167,3.84,80,89,13.26,TF,1690609560
5,singtam,27.2333,88.5,29.7,84,97,0.65,IN,1690609681
6,lusambo,-4.9667,23.45,23.7,34,6,0.91,CD,1690609748
7,muravlenko,63.7898,74.523,23.83,49,34,1.92,RU,1690609748
8,klyuchi,52.2667,79.1667,31.19,26,71,5.63,RU,1690609749
9,huamachuco,-7.8,-78.0667,7.22,93,11,2.75,PE,1690609749
10,berezovyy,51.6667,135.7,30.41,39,98,1.81,RU,1690609749
11,kununurra,-15.7667,128.7333,31.99,33,42,3.6,AU,1690609750
12,lhokseumawe,5.1801,97.1507,31.63,59,20,3.74,ID,1690609750
13,albany,42.6001,-73.9662,24.85,84,87,1.34,US,1690609653
14,chonchi,-42.6128,-73.8092,11.73,92,100,4.65,CL,1690609751
15,khandyga,62.6667,135.6,25.65,26,47,1.8,RU,1690609751
16,katsuura,35.1333,140.3,28.6,71,19,5.67,JP,1690609752
17,nikol'sk,53.7189,46.0712,29.02,44,100,5.74,RU,1690609752
18,uturoa,-16.7333,-151.4333,26.45,77,13,3.51,PF,1690609753
19,blackmans bay,-43.0167,147.3167,16.52,48,67,3.78,AU,1690609753
20,kavaratti,10.5669,72.642,28.3,77,37,7.16,IN,1690609753
21,fairwood,47.4484,-122.1573,19.08,71,40,2.06,US,1690609754
22,vorgashor,67.5833,63.95,17.85,52,2,3.5,RU,1690609594
23,forster,-32.1667,152.5167,20.72,59,31,2.5,AU,1690609755
24,adamstown,-25.066,-130.1015,19.28,61,99,11.97,PN,1690609582
25,oriximina,-1.7656,-55.8661,24.91,74,92,1.17,BR,1690609756
26,olonkinbyen,70.9221,-8.7187,5.81,90,99,3.48,SJ,1690609756
27,tiksi,71.6872,128.8694,6.21,74,0,4.47,RU,1690609757
28,qujing,25.4833,103.7833,23.95,65,99,1.06,CN,1690609757
29,taghazout,30.5426,-9.7112,20.43,91,5,1.56,MA,1690609758
30,el calafate,-50.3408,-72.2768,2.56,84,40,0.47,AR,1690609758
31,jamestown,42.097,-79.2353,22.77,98,75,3.09,US,1690609758
32,viedma,-40.8135,-62.9967,11.19,57,99,10.0,AR,1690609759
33,bilibino,68.0546,166.4372,10.33,91,100,0.82,RU,1690609759
34,porto novo,6.4965,2.6036,24.9,94,99,1.81,BJ,1690609760
35,bethel,41.3712,-73.414,25.35,84,0,0.0,US,1690609580
36,ystad,55.4297,13.8204,15.41,75,100,3.97,SE,1690609761
37,callao,-12.0667,-77.15,20.4,77,100,4.63,PE,1690609746
38,ushuaia,-54.8,-68.3,8.81,61,0,4.63,AR,1690609623
39,wailua homesteads,22.0669,-159.378,28.24,77,75,7.72,US,1690609590
40,mogocha,53.7333,119.7667,23.66,52,74,2.03,RU,1690609762
41,west island,-12.1568,96.8225,26.99,74,40,8.75,CC,1690609763
42,kiunga,-6.1219,141.2906,26.47,88,97,1.61,PG,1690609763
43,sarupathar,26.1984,93.8094,33.12,86,100,0.9,IN,1690609763
44,kasongo-lunda,-6.4667,16.8167,20.39,82,6,0.62,CD,1690609764
45,ilulissat,69.2167,-51.1,4.01,100,100,2.06,GL,1690609765
46,iqaluit,63.7506,-68.5145,10.85,62,75,1.54,CA,1690609766
47,edinburgh of the seven seas,-37.0676,-12.3116,14.49,84,100,13.21,SH,1690609766
48,yellowknife,62.456,-114.3525,17.29,72,100,3.09,CA,1690609670
49,san antonio de pale,-1.4014,5.6325,22.57,85,100,6.36,GQ,1690609767
50,shevchenkove,49.6959,37.1735,19.05,72,70,8.25,UA,1690609768
51,santana,-0.0583,-51.1817,28.1,94,40,5.14,BR,1690609511
52,mykolayiv,46.9659,31.9974,21.82,45,70,2.52,UA,1690609768
53,thompson,55.7435,-97.8558,13.09,88,40,3.09,CA,1690609600
54,kapa'a,22.0752,-159.319,28.99,77,75,7.72,US,1690609770
55,constantia,44.1833,28.65,22.61,44,17,2.73,RO,1690609770
56,chittagong,22.9167,91.5,31.75,68,65,6.87,BD,1690609770
57,kodiak,57.79,-152.4072,11.73,100,100,4.12,US,1690609771
58,zaragoza,41.6561,-0.8773,22.67,76,20,0.51,ES,1690609771
59,bel ombre,-4.6167,55.4167,25.91,83,40,5.14,SC,1690609772
60,stanley,54.868,-1.6985,14.29,85,20,1.03,GB,1690609772
61,tralee,52.2704,-9.7026,13.54,90,50,6.24,IE,1690609773
62,mhamid,29.82,-5.72,31.86,16,5,2.42,MA,1690609773
63,tazovsky,67.4667,78.7,16.91,81,98,3.18,RU,1690609773
64,macau,22.2006,113.5461,36.59,84,20,2.57,MO,1690609774
65,bredasdorp,-34.5322,20.0403,9.96,87,96,12.96,ZA,1690609774
66,pisco,-13.7,-76.2167,19.03,82,100,4.63,PE,1690609775
67,constitucion,-35.3333,-72.4167,12.26,78,100,2.93,CL,1690609775
68,cam ranh,11.9214,109.1591,34.98,52,40,2.06,VN,1690609775
69,asuncion nochixtlan,17.4667,-97.2333,14.57,92,85,2.62,MX,1690609776
70,utrik,11.2278,169.8474,28.38,84,95,9.81,MH,1690609776
71,corabia,43.7833,24.5,16.32,34,0,1.26,RO,1690609777
72,tual,-5.6667,132.75,26.16,86,84,9.35,ID,1690609777
73,atafu village,-8.5421,-172.5159,28.43,74,85,6.57,TK,1690609777
74,udachny,66.4167,112.4,26.36,25,0,2.41,RU,1690609778
75,maine soroa,13.2114,12.0241,27.05,66,73,6.01,NE,1690609778
76,shuangjiang,26.1547,109.7138,34.65,47,78,1.04,CN,1690609779
77,waitangi,-43.9535,-176.5597,10.46,96,74,3.58,NZ,1690609564
78,las praderas,-3.3348,-79.7984,25.41,84,73,0.32,EC,1690609779
79,lazaro cardenas,17.9583,-102.2,26.74,85,37,1.39,MX,1690609780
80,nabire,-3.3667,135.4833,30.18,70,64,2.88,ID,1690609780
81,svyetlahorsk,52.6329,29.7389,17.83,79,22,3.6,BY,1690609659
82,suihua,46.6406,126.9969,27.61,82,45,7.1,CN,1690609781
83,nar'yan-mar,67.6713,53.087,19.7,62,56,2.81,RU,1690609699
84,moissala,8.3404,17.7663,22.84,88,93,1.42,TD,1690609782
85,keflavik,64.0049,-22.5624,9.24,93,0,3.6,IS,1690609594
86,ramshir,30.8946,49.4092,35.92,18,0,2.63,IR,1690609783
87,lebu,-37.6167,-73.65,11.82,88,100,4.09,CL,1690609783
88,barras,-4.2444,-42.2944,21.99,96,21,1.05,BR,1690609784
89,puerto natales,-51.7236,-72.4875,0.49,93,92,1.99,CL,1690609572
90,qamdo,31.1667,97.2333,15.4,39,66,0.86,CN,1690609784
91,anadyr,64.75,177.4833,13.28,76,20,10.73,RU,1690609785
92,happy valley-goose bay,53.3168,-60.3315,13.17,76,75,2.06,CA,1690609785
